unique,city_name,state,population,pop_density,gdp,unemployment_rate,college_graduate,household_income,climate,sports_team,landlocked,original_13_colony
C093,Irving,texas,"258,060",3800,744,4.3,29,"42,415.00",6,0,0,0
C094,Scottsdale,arizona,"246,170",2016,398,3.2,44,"107,730.00",3,0,1,0
C095,Cape Coral,florida,"233,025",2282,50,4.2,25,"76,060.00",4,0,0,0
C096,Arlington,virginia,"243,760",9057,42,3.5,40,"140,160.00",5,0,0,1
C097,Garland,texas,250431,5206,688,4.3,23,"74,715.00",6,0,0,0
C098,Frisco,texas,235208,2921,689,4.6,43,"146,160.00",6,0,0,0
C099,Boise City,idaho,237960,2591,55,3.6,33,"84,350.00",3,0,1,0
C100,Huntsville,alabama,249102,"1,006",36,2.2,32,"70,780.00",5,0,0,0
C101,Richmound,virginia,"233,655",3899,116,3.7,30,"62,670.00",5,0,0,1
C102,Spring Valley,nevada,"219,913",6590,178,3.4,,"37,300.00",3,0,0,0
C103,Spokane,washington,230609,3339,39,4.3,29,"70,720.00",6,0,0,0
C104,Norfolk,virginia,231105,4249,25,6.1,25,"64,010.00",5,0,0,1
C105,Tacoma,washington,288202,4412,566,5.4,30,"83,855.00",6,0,0,0
C106,San Bernardino,california,224775,3519,256,6.1,12,"63,985.00",4,0,0,0
C107,McKinney,texas,227526,3289,688,3.4,39,"74,435.00",6,0,0,0
C108,Fremont,california,228192,2860,,4.3,36,"175,350.00",4,0,0,0
C109,Hilaleah,florida,221318,10220,801,2.9,24,"53,080.00",4,0,0,0
C110,Fontana,california,218455,1833,,6.8,20,"98,185.00",4,0,0,0
C111,Modesto,california,220592,5553,30,7.3,21,"78,900.00",4,0,0,0
C112,Santa Clarita,california,229159,2967,913,5.3,34,"119,925.00",4,0,0,0
C113,Salt Lake City,utah,217783,1817,147,3.6,33,"74,925.00",3,1,1,0
C114,Baton Rouge,louisiana,220907,2982,54,4.2,22,"49,940.00",5,0,0,0
C115,Sioux Falls,south_dakota,209289,2601,30,2.2,35,"74,710.00",1,0,1,0
C116,Moreno Valley,california,213919,4185,,6.1,19,"87,475.00",4,0,0,0
C117,Fayetteville,north_carolina,209496,1417,28,5.1,26,"56,395.00",5,0,0,1
C118,Worcester,massachusetts,211286,5528,64,5.2,25,"67,540.00",1,0,0,1
C119,Des Moines,iowa,213096,2409,74,4.2,28,"63,960.00",1,0,1,0
C120,Grand Prairie,texas,207331,2842,,4.1,26,"78,890.00",6,0,0,0
